state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
MI,88.45,389.6,345-2448,no,no,0.0,128.96,118.5,23.96,297.58,102.8,25.4,199.93,119.64,8.51,6.88,4.79,1.76,2.04,False
GA,76.47,408.09,372-6497,no,no,0.0,286.66,119.8,49.32,229.33,95.99,19.05,214.18,135.33,9.14,14.09,4.1,3.72,0.0,True
UT,61.48,389.77,335-9726,no,yes,24.34,166.92,76.77,26.66,114.43,109.93,9.94,127.55,116.5,5.89,9.8,2.98,2.74,3.1,False
NV,86.38,399.14,364-3286,no,no,0.0,174.37,61.0,29.26,182.25,92.1,15.32,243.26,127.28,10.67,7.0,7.29,1.93,3.97,True
WV,119.3,520.57,412-9997,no,no,0.0,219.16,109.97,37.18,205.24,75.79,16.7,180.58,95.19,8.27,11.61,2.05,3.26,0.97,False
OR,96.41,430.48,378-6772,yes,no,0.0,12.7,69.36,2.21,247.82,93.2,21.68,168.39,86.83,7.94,7.47,9.16,2.06,1.02,False
CT,90.36,421.95,414-9119,no,no,0.0,80.49,79.25,13.54,174.26,79.01,14.49,202.03,66.63,8.48,7.56,3.91,2.01,0.96,False
OR,94.21,402.57,366-4334,no,yes,37.87,221.43,59.73,35.88,261.85,100.09,21.5,198.05,74.61,9.19,11.22,4.89,2.8,1.92,False
CT,76.13,411.35,374-1551,no,no,0.0,114.0,88.37,19.09,142.34,80.25,12.77,216.97,85.32,10.2,7.94,5.86,2.32,0.96,False
OH,67.97,411.23,408-6305,no,no,0.0,171.0,98.87,28.68,259.05,73.21,22.18,199.68,132.31,9.15,10.58,2.04,2.93,2.0,False
PA,89.88,391.19,339-9631,no,yes,28.46,143.84,91.85,24.59,197.96,79.48,17.36,240.25,117.48,11.05,9.8,3.0,2.6,1.0,False
FL,78.74,500.37,394-8504,no,yes,25.49,117.76,82.39,20.99,221.67,118.96,18.17,138.78,103.4,5.84,13.11,2.89,3.51,2.1,False
MO,39.09,407.53,410-5250,no,no,0.0,192.5,100.99,33.34,202.16,92.64,17.03,299.71,92.89,11.85,9.49,3.09,2.42,1.91,False
OK,96.6,429.58,418-4658,no,yes,33.39,118.47,120.0,20.18,239.82,100.01,20.01,129.12,113.82,5.65,10.65,9.17,2.95,0.0,False
CA,138.53,433.62,415-3689,no,yes,21.11,185.25,42.23,30.81,184.9,134.42,14.74,185.25,123.43,7.76,11.93,4.79,3.03,2.05,False
PA,60.2,426.84,382-9138,no,yes,22.15,230.87,102.53,38.81,178.36,109.74,15.14,226.91,71.81,9.96,9.76,4.05,2.54,0.0,False
MA,72.47,508.34,419-5171,no,no,0.0,284.76,109.11,50.47,256.11,87.44,21.05,259.73,131.13,12.0,9.8,4.78,2.84,2.96,True
MI,47.05,421.52,407-2718,no,no,0.0,247.88,86.54,41.61,141.2,122.14,11.76,123.35,137.63,5.82,7.1,8.64,1.85,0.97,False
HI,118.88,408.47,336-6128,no,yes,33.9,146.61,68.72,25.75,199.06,151.59,15.82,238.15,134.39,10.94,14.11,2.92,3.86,1.99,False
PA,74.58,444.74,395-6149,no,no,0.0,143.89,88.3,23.68,147.12,84.01,12.68,196.02,84.07,8.15,11.22,5.08,2.82,2.89,False
WV,95.47,403.15,396-1106,no,yes,26.95,92.6,106.16,14.99,127.99,82.5,11.05,224.06,84.83,10.13,10.06,4.03,2.73,3.12,False
CO,136.54,424.99,379-9524,no,no,0.0,194.96,65.0,34.35,129.57,114.69,11.76,172.1,90.7,7.99,10.86,2.89,2.95,4.01,True
VT,125.09,424.44,355-9475,no,no,0.0,192.66,128.8,31.37,263.52,99.98,21.96,98.59,65.97,4.47,11.11,6.29,3.17,4.1,False
OK,143.16,505.18,406-5532,no,yes,32.42,148.79,145.61,27.52,272.86,79.93,22.68,184.62,72.55,8.76,9.85,4.01,2.53,2.89,False
SC,143.95,490.36,347-9769,no,yes,29.15,159.3,73.72,27.14,164.33,101.79,14.45,180.11,95.64,8.44,11.48,9.24,2.95,0.99,False
SC,36.89,388.29,375-5439,no,yes,30.48,203.53,114.54,35.09,247.39,74.41,21.55,297.37,101.64,14.45,3.97,1.89,1.02,0.0,False
NY,32.16,431.91,364-3567,no,no,0.0,166.91,94.16,28.25,238.64,96.85,19.82,173.14,102.98,7.7,14.64,1.93,4.07,1.99,False
MT,118.66,412.7,420-5652,no,yes,30.18,148.6,33.69,23.86,260.18,104.67,22.84,232.63,79.34,10.67,11.48,7.26,3.27,2.07,False
MA,57.9,394.28,411-6598,no,no,0.0,176.33,107.12,30.15,260.73,125.26,22.04,183.49,89.61,7.91,0.0,0.0,0.0,4.09,False
OH,28.81,423.39,402-6666,no,no,0.0,202.18,79.93,34.99,167.36,108.31,14.75,131.39,100.31,6.01,12.26,7.21,3.45,2.03,False
VT,95.31,503.79,395-6369,no,no,0.0,203.95,100.32,33.96,176.84,62.78,14.59,166.31,109.08,7.9,13.99,2.98,3.8,2.1,False
NV,101.91,405.31,415-1203,no,no,0.0,157.98,96.92,28.42,169.37,106.35,14.56,232.14,54.23,10.97,15.59,3.01,4.39,2.06,False
NJ,107.66,413.05,354-9062,no,no,0.0,210.62,93.0,36.22,148.47,84.65,12.2,209.03,113.97,9.71,7.93,1.95,2.11,2.93,False
NJ,94.48,430.57,379-6652,no,yes,21.73,40.23,125.8,7.09,129.72,86.93,10.8,258.78,93.76,12.11,11.57,7.35,3.35,0.0,False
CT,117.32,399.4,376-5201,no,no,0.0,123.25,130.71,22.82,114.71,95.72,10.03,190.75,136.4,8.63,11.12,5.15,2.97,0.0,False
DC,41.49,423.02,329-6191,no,yes,37.16,231.84,117.98,40.66,214.32,108.26,18.85,179.85,106.28,8.64,7.08,1.04,2.03,2.04,False
CO,67.45,394.98,329-6192,no,yes,40.64,138.27,88.26,22.98,260.15,84.84,22.4,248.11,67.7,11.22,8.13,7.07,2.31,0.0,False
MA,83.65,409.53,383-5109,no,yes,46.21,77.85,137.7,13.54,153.67,101.37,13.49,302.41,128.89,14.5,12.67,2.92,3.47,1.91,False
TX,117.31,431.14,345-9168,no,no,0.0,215.96,114.65,37.55,204.7,103.91,17.81,166.76,93.94,7.4,9.45,4.8,2.52,2.96,False
IA,77.56,420.37,344-6935,no,yes,16.9,163.05,118.01,28.3,232.87,89.1,20.05,217.58,116.13,9.41,8.87,1.98,2.58,1.02,False
NC,114.87,496.82,329-9667,yes,no,0.0,261.7,71.58,41.65,240.62,96.3,21.85,122.75,114.58,5.07,10.29,1.01,2.69,3.05,True
OR,125.1,400.2,368-8283,no,no,0.0,249.23,115.92,43.38,145.09,109.75,12.7,159.19,91.65,6.73,9.26,1.04,2.71,2.02,False
OK,48.08,430.01,354-8191,no,no,0.0,156.96,113.45,28.66,200.31,154.42,15.94,225.91,122.76,10.79,7.84,1.04,2.3,0.97,False
NM,52.26,508.67,382-5478,no,no,0.0,295.93,101.22,50.77,134.28,116.34,11.59,183.74,121.27,9.1,6.8,5.11,1.82,1.92,False
NE,125.22,523.43,348-5567,yes,no,0.0,175.85,111.42,31.85,204.48,118.91,18.17,243.2,103.42,11.28,7.4,4.18,1.91,2.01,False
HI,3.14,413.57,355-2872,no,no,0.0,136.46,103.86,23.46,244.35,104.6,21.46,282.22,87.11,12.32,6.23,3.03,1.64,4.03,False
AZ,143.07,398.23,411-4674,no,no,0.0,168.24,94.0,28.79,199.85,107.1,16.74,209.19,122.13,9.26,10.77,5.0,3.07,3.04,False
NV,50.99,445.78,327-6179,no,no,0.0,154.73,92.26,28.07,219.42,87.5,18.57,148.82,121.8,7.21,10.32,1.95,2.93,0.0,False
WV,23.43,533.97,399-3089,no,yes,31.48,149.16,82.92,26.58,162.24,95.27,14.08,305.68,103.53,13.17,9.59,5.97,2.49,1.0,False
OK,120.29,400.88,344-6495,no,no,0.0,128.57,118.19,21.84,186.72,85.44,14.55,196.02,105.99,9.44,8.05,2.98,2.18,1.04,False
IA,83.39,497.56,377-1273,no,no,0.0,250.75,139.68,46.65,210.41,101.55,17.58,283.84,98.29,12.82,8.2,5.97,2.05,1.02,True
VA,15.44,512.1,368-2583,no,no,0.0,208.28,65.57,33.91,173.81,93.88,14.26,211.96,63.34,9.72,11.14,3.08,3.08,0.0,False
TX,59.27,416.57,420-1259,no,yes,20.07,184.55,106.69,34.44,198.77,89.57,18.27,226.46,91.2,10.27,9.98,2.15,2.53,1.0,False
WA,97.56,424.23,382-4932,no,no,0.0,69.18,91.52,11.74,216.56,98.86,17.48,238.36,126.29,10.57,9.81,1.01,2.69,5.71,True
TX,68.54,421.63,376-7207,no,yes,39.15,183.57,107.02,31.0,214.67,113.88,18.26,173.38,104.03,7.47,11.78,5.9,3.23,0.98,False
SD,20.79,436.47,334-4678,no,yes,33.38,158.69,101.28,28.66,148.86,123.89,12.9,165.9,126.55,6.83,6.9,2.95,1.85,0.0,False
CT,96.5,484.51,416-1536,yes,no,0.0,109.27,100.4,18.51,85.57,118.33,7.58,152.13,118.17,6.82,9.9,4.12,2.74,1.03,False
CO,73.27,430.72,394-6278,no,no,0.0,213.95,90.38,37.68,205.1,123.32,18.09,245.99,96.11,10.42,9.13,2.08,2.42,2.04,False
WI,93.88,417.36,336-2190,no,no,0.0,248.46,80.18,41.77,149.63,62.92,12.86,246.25,105.32,10.33,10.89,5.92,2.96,1.01,False
ND,107.99,415.3,366-8036,no,yes,24.01,197.81,81.51,31.64,216.29,87.71,19.31,268.91,108.13,12.14,8.58,4.79,2.21,0.0,False
MO,54.05,490.67,362-1146,no,no,0.0,190.19,97.52,31.55,115.58,98.0,10.26,245.61,85.92,10.89,16.61,5.43,4.84,0.0,False
NY,161.55,406.21,409-7494,no,no,0.0,168.42,88.41,27.99,244.26,137.47,21.25,225.37,99.2,10.0,9.56,4.85,2.64,0.97,False
SC,134.97,405.67,396-4410,no,no,0.0,221.75,101.5,36.51,181.05,141.21,16.14,162.99,103.77,7.8,11.06,3.95,3.0,0.0,True
CO,62.76,399.69,408-6725,no,no,0.0,200.35,85.74,37.62,212.06,129.37,20.21,235.36,99.3,10.4,11.16,9.34,2.91,3.2,False
ND,141.81,423.73,409-4671,yes,yes,34.41,149.74,110.88,26.56,195.89,65.94,16.27,237.56,73.87,10.11,10.75,1.97,2.9,3.0,True
MO,53.59,431.45,331-5919,no,no,0.0,142.32,115.41,23.39,161.1,117.19,13.82,183.93,75.26,8.59,14.42,4.11,3.93,1.03,False
OH,81.97,416.89,356-3448,no,yes,28.21,222.07,82.35,39.25,197.0,114.69,15.82,274.91,118.49,12.51,12.44,3.03,3.45,1.01,False
MN,90.08,389.28,421-5994,no,no,0.0,136.16,121.12,23.01,121.16,116.62,10.93,261.52,74.45,11.88,4.8,4.03,1.26,0.98,False
FL,102.46,405.03,384-6654,no,no,0.0,178.39,149.11,29.49,243.48,120.43,20.1,250.23,104.92,11.73,9.6,2.05,2.6,0.0,False
MT,73.82,408.02,335-9066,no,no,0.0,160.99,102.44,28.71,277.7,101.98,25.35,189.41,78.68,8.18,8.98,5.78,2.39,0.0,False
MD,146.09,394.92,376-4292,no,no,0.0,276.85,88.47,45.69,220.49,80.17,20.24,280.65,85.32,12.32,6.47,0.95,1.6,0.0,True
WA,141.76,518.45,362-3107,no,no,0.0,139.52,105.16,22.72,219.07,116.06,19.72,180.14,88.93,8.18,10.53,13.13,2.73,1.0,False
WA,47.0,488.45,328-1373,no,no,0.0,144.75,139.53,24.48,155.08,103.75,14.25,204.09,111.69,8.78,8.03,2.03,2.2,3.01,False
MS,75.27,389.77,368-8972,no,no,0.0,173.9,90.87,29.29,127.83,76.98,11.18,172.49,106.42,7.57,5.21,3.04,1.4,0.0,False
CT,94.84,422.11,392-5941,no,no,0.0,194.47,109.19,34.79,227.91,137.11,19.27,317.31,98.1,14.58,10.29,2.96,2.85,0.0,False
CT,105.18,423.82,357-2679,no,no,0.0,208.18,100.46,35.84,210.76,49.9,16.81,174.67,96.8,8.41,9.22,5.94,2.58,0.96,False
AZ,73.58,531.06,385-7387,no,yes,35.33,116.62,101.66,19.8,270.99,106.36,23.83,254.35,92.89,11.66,11.63,4.77,3.04,1.96,False
OR,101.07,412.43,353-3372,no,no,0.0,263.43,41.82,41.89,208.69,106.46,17.33,230.84,73.57,10.24,7.53,0.98,2.22,3.0,True
RI,121.1,413.8,377-5441,no,yes,22.81,210.87,114.53,35.97,243.1,84.26,21.38,258.86,114.01,11.8,7.23,4.93,1.99,2.01,False
RI,137.41,522.35,349-4369,yes,no,0.0,123.45,113.2,22.13,240.93,78.39,22.11,140.33,91.96,5.9,10.8,3.09,2.76,1.03,False
ND,58.74,513.6,351-4226,no,no,0.0,172.24,80.15,29.62,236.35,99.36,19.49,174.0,109.46,8.22,14.73,3.08,3.78,0.0,False
FL,31.11,485.53,402-3634,no,no,0.0,164.71,87.21,26.77,195.4,102.95,17.89,195.44,62.59,9.2,8.27,0.99,2.29,1.04,False
AR,98.9,409.32,328-7833,no,no,0.0,220.12,110.39,39.4,119.19,103.97,10.07,112.61,101.37,5.07,4.68,4.06,1.27,4.79,True
OH,81.95,383.98,356-3448,no,yes,29.09,216.75,81.16,38.32,199.12,116.04,14.99,273.31,108.23,12.03,12.34,2.99,3.73,0.97,False
NH,64.91,377.6,355-1113,no,yes,36.63,103.13,67.4,16.76,217.32,93.43,18.1,230.8,138.78,8.95,10.06,9.23,2.52,1.05,False
NH,138.77,395.41,402-3370,no,yes,31.02,322.64,97.84,56.01,287.67,109.39,24.51,214.71,105.77,9.16,6.38,2.86,1.81,0.94,True
OR,98.6,395.95,398-5851,no,no,0.0,115.45,88.07,20.93,205.37,99.39,17.45,52.09,61.95,2.3,11.67,4.82,3.02,1.02,False
OH,161.08,415.87,337-9326,no,no,0.0,216.44,65.76,36.39,230.35,104.74,19.54,238.76,97.95,10.37,11.22,6.15,3.24,0.0,False
MN,54.53,407.52,401-9420,no,no,0.0,172.23,101.79,28.16,204.7,58.21,17.03,187.58,128.35,8.66,11.54,1.97,3.06,1.05,False
AK,127.37,506.39,345-8237,no,yes,34.23,176.84,112.38,30.76,131.94,75.96,10.85,271.67,73.39,12.0,11.13,7.64,3.16,1.0,False
OH,62.28,496.19,327-5525,yes,yes,15.86,139.91,75.89,25.19,236.0,55.53,20.22,151.99,91.4,6.39,11.02,3.11,3.0,0.0,False
RI,72.18,433.56,344-9403,no,no,0.0,180.92,131.39,31.4,159.13,144.01,13.72,187.86,98.65,9.01,8.77,4.82,2.48,0.0,False
NH,49.65,412.13,339-4636,no,no,0.0,156.64,103.75,26.7,303.31,110.9,25.38,208.99,92.57,9.9,10.69,3.06,3.08,0.0,False
TX,167.12,415.11,379-5885,no,no,0.0,256.49,107.1,47.36,156.92,89.93,13.49,293.81,107.56,12.44,14.1,2.97,3.88,3.08,True
CO,127.13,431.28,379-9524,no,no,0.0,190.18,65.94,33.12,129.43,113.52,11.35,173.02,92.41,8.18,11.31,3.1,3.04,3.91,True
IL,138.66,427.43,416-8428,no,no,0.0,80.85,94.92,14.97,131.26,64.2,11.3,257.03,143.13,11.16,13.68,6.3,3.79,2.0,False
TN,81.79,404.47,332-6934,no,no,0.0,152.15,124.33,25.54,187.23,110.66,15.82,248.8,125.62,11.81,9.98,8.13,2.55,0.0,False
OR,113.81,416.73,333-3421,no,no,0.0,149.23,108.44,25.08,174.56,96.77,16.04,140.97,116.36,6.09,11.46,3.95,3.15,2.02,False
TN,35.38,435.32,413-2238,no,no,0.0,227.8,126.05,38.92,199.34,106.46,17.68,113.15,99.77,5.39,6.8,3.06,1.76,3.99,False
HI,25.14,434.93,398-4431,no,no,0.0,155.64,102.32,26.68,90.16,103.1,7.68,196.44,116.39,9.28,7.62,5.24,1.88,0.97,False
KS,82.93,418.22,383-8807,no,no,0.0,171.36,80.59,30.93,160.36,88.13,13.92,233.75,139.93,10.08,15.12,8.21,4.03,0.0,False
WA,170.31,430.91,345-3947,no,no,0.0,274.7,94.0,45.26,215.37,78.36,18.84,220.3,59.89,10.03,8.66,8.09,2.35,2.99,True
ND,111.13,399.48,348-1706,no,no,0.0,188.84,102.6,33.4,202.61,117.95,16.33,130.24,72.1,6.27,13.0,1.0,3.49,2.97,False
AK,96.34,413.28,334-4506,no,yes,29.39,156.78,87.72,26.75,165.03,73.55,13.79,230.57,54.71,10.71,8.87,2.98,2.29,1.0,False
IN,68.01,418.5,386-9724,no,no,0.0,230.81,111.44,36.08,192.9,103.99,17.16,160.27,107.02,7.0,9.39,3.1,2.45,2.01,False
TX,39.08,379.56,370-7550,no,yes,22.65,221.17,103.97,36.57,138.21,82.55,12.55,141.4,123.4,6.53,6.55,2.79,1.94,0.0,False
TN,105.6,514.13,356-8449,no,yes,33.42,167.76,91.01,26.37,173.52,117.8,14.93,267.73,79.52,11.92,9.31,3.03,2.56,3.83,True
SC,181.35,397.52,406-6304,no,no,0.0,238.83,135.84,37.61,139.6,96.11,11.71,269.35,113.81,11.5,14.05,4.2,3.96,1.91,False
MA,137.32,403.4,341-9274,no,yes,34.65,199.64,91.15,35.06,155.7,73.01,13.18,136.25,95.16,5.99,14.14,4.92,3.54,0.0,False
MA,157.86,396.05,387-3332,no,no,0.0,166.96,113.92,29.34,243.42,116.34,19.6,309.77,79.17,14.31,8.86,1.01,2.62,1.0,False
VA,9.52,412.93,352-5697,no,no,0.0,229.63,127.17,39.42,146.06,123.64,12.67,236.0,80.33,10.53,13.34,3.86,3.46,1.04,False
NJ,112.31,513.49,332-5084,no,no,0.0,172.54,131.48,28.85,100.7,58.43,8.49,222.22,82.86,9.79,10.69,2.04,2.91,4.11,True
NM,25.85,405.03,381-2709,no,no,0.0,121.73,83.98,20.71,211.35,98.37,17.42,267.33,82.92,12.06,10.69,4.15,2.87,3.02,False
CO,57.55,485.16,331-3842,no,no,0.0,154.11,91.14,27.14,204.71,91.03,17.47,109.02,91.49,5.24,12.94,9.83,3.33,0.98,False
FL,96.23,501.11,387-9855,yes,yes,23.85,93.18,121.64,15.67,189.52,132.83,15.76,258.58,124.07,10.8,9.96,3.11,2.72,0.0,False
WA,185.04,402.16,344-3131,no,no,0.0,146.38,93.38,24.58,176.86,75.78,15.08,233.12,111.79,10.82,12.73,7.93,3.43,1.91,False
ME,71.53,400.36,343-1965,yes,no,0.0,204.85,58.99,34.93,109.16,121.42,8.84,176.11,64.76,7.84,9.71,3.81,2.56,3.76,True
ND,182.92,398.15,400-3945,no,no,0.0,103.22,106.57,17.84,199.91,118.84,17.51,259.1,94.37,12.18,7.72,4.84,2.09,2.02,False
VT,140.42,420.13,378-4617,no,no,0.0,241.45,74.72,40.76,180.41,146.44,14.79,196.36,85.56,8.89,10.68,6.09,2.91,3.93,False
NH,102.53,401.15,371-1727,no,no,0.0,145.16,124.86,25.99,160.75,125.16,13.8,218.53,108.49,10.17,10.25,7.79,2.71,8.09,True
ID,173.45,500.95,343-2465,no,yes,37.25,172.86,123.57,31.46,251.85,103.18,20.63,253.38,88.47,11.33,13.5,3.98,3.62,0.0,False
AZ,62.18,404.55,407-7035,no,no,0.0,56.71,122.71,10.42,166.27,56.23,13.88,218.56,86.11,9.52,9.8,2.99,2.61,0.96,False
NE,96.37,402.28,410-6791,no,no,0.0,178.96,89.6,31.46,198.09,112.86,16.52,300.9,131.05,12.98,10.5,4.12,2.71,1.05,True
CA,57.23,433.24,330-8351,yes,no,0.0,189.19,112.75,29.87,202.21,90.34,17.42,193.7,113.11,8.86,10.55,6.16,3.14,0.95,False
OR,100.51,395.43,417-2774,no,no,0.0,148.04,120.02,24.81,201.32,144.77,17.4,147.91,123.47,6.67,13.52,2.08,3.48,0.97,False
OR,140.49,407.18,377-1293,no,no,0.0,263.83,64.96,44.37,244.66,120.72,21.63,202.7,107.46,9.34,8.35,2.06,2.25,5.23,True
MI,49.55,412.79,361-3779,no,yes,33.36,189.61,101.18,33.26,134.83,99.44,11.63,205.18,105.36,9.35,8.14,2.07,2.09,1.95,False
CT,71.61,399.71,388-4879,no,yes,20.04,180.1,110.92,31.51,345.72,88.44,29.87,194.05,118.55,8.56,16.67,4.13,4.53,0.99,False
SD,30.42,415.35,354-8088,no,no,0.0,243.6,108.25,43.14,170.87,74.56,14.72,298.83,92.73,12.4,11.67,1.92,2.91,0.0,False
NM,25.58,414.64,381-2709,no,no,0.0,116.46,86.87,21.15,201.36,101.68,18.77,255.92,90.19,12.11,10.17,4.01,2.77,2.98,False
DC,113.04,401.16,354-5689,no,no,0.0,147.61,113.79,25.38,165.62,111.1,14.26,264.68,105.55,12.04,8.93,2.95,2.47,4.82,True
MS,146.65,417.51,372-5262,no,no,0.0,169.34,96.98,28.03,198.91,114.43,17.76,148.25,68.07,6.61,8.55,2.08,2.25,1.04,False
DE,133.02,502.23,333-2906,no,no,0.0,237.06,104.3,40.26,275.45,91.06,22.52,117.16,99.57,5.18,11.36,7.01,2.89,0.0,False
VA,116.01,513.01,339-2792,no,yes,27.1,105.57,96.96,18.94,138.73,76.42,12.49,232.87,89.43,10.34,6.56,3.15,1.78,2.02,False
IA,142.48,488.3,354-6183,no,yes,31.83,141.94,133.97,24.3,186.44,112.46,15.8,211.11,109.6,9.87,8.03,6.24,2.12,0.99,False
OH,86.75,406.13,356-3448,no,yes,28.9,220.12,81.86,37.91,191.06,111.51,15.63,273.56,113.12,12.28,12.81,3.01,3.41,1.0,False
TN,125.2,394.75,415-3016,no,yes,35.65,300.98,81.51,50.94,163.67,105.73,12.9,269.52,83.74,12.61,13.72,7.15,3.52,1.03,False
TN,146.66,412.99,416-8543,yes,no,0.0,152.57,62.28,25.91,216.31,111.08,17.92,173.65,100.63,8.04,8.98,2.91,2.4,1.99,False
MO,167.73,440.77,339-9026,no,yes,39.71,92.0,54.9,16.58,199.21,92.55,17.6,173.14,120.86,8.25,11.32,2.07,2.91,2.03,False
MO,84.95,407.41,367-8924,no,no,0.0,126.83,116.61,21.02,280.69,126.61,23.82,191.37,99.38,8.24,9.81,4.18,2.67,1.04,False
FL,110.19,476.86,343-3340,no,no,0.0,99.71,80.51,15.8,181.32,90.35,16.17,159.06,71.56,7.06,14.16,3.91,4.15,3.05,False
AR,196.8,402.0,353-2557,no,yes,19.69,162.92,121.46,27.63,248.82,89.55,22.5,188.78,104.85,8.98,10.24,6.07,2.58,0.0,False
WV,111.19,413.56,341-7686,no,no,0.0,63.37,114.54,10.45,93.3,84.77,8.04,193.89,110.32,9.23,13.88,3.07,3.64,4.94,True
ME,34.07,434.57,345-3934,no,no,0.0,156.45,114.83,25.16,241.82,124.55,20.66,174.96,99.18,7.77,8.69,5.7,2.26,1.86,False
MA,98.74,382.89,354-4448,no,yes,21.44,156.76,110.78,24.59,195.13,43.14,16.6,274.67,96.43,12.61,8.29,2.84,2.39,1.98,False
CT,154.7,393.88,354-7077,no,yes,20.83,231.98,109.82,41.1,216.8,111.86,17.23,277.35,134.03,12.57,13.74,2.94,3.68,4.89,False
AZ,62.95,404.13,407-7035,no,no,0.0,59.69,120.94,9.56,165.84,56.46,14.95,205.11,92.34,9.85,9.27,2.95,2.54,1.04,False
NE,35.37,391.94,361-6814,no,no,0.0,195.96,71.77,31.17,124.73,81.52,10.63,228.04,167.92,10.08,8.84,3.7,2.43,0.0,False
MS,185.22,416.34,394-5753,yes,no,0.0,110.28,57.21,18.54,212.76,123.02,18.65,233.6,80.08,10.71,9.8,6.93,2.7,3.02,False
WI,87.11,526.28,398-3176,no,no,0.0,208.59,72.34,35.52,218.73,114.68,19.17,225.01,106.52,10.9,10.11,1.99,2.89,0.95,False
FL,138.96,420.5,396-5800,no,no,0.0,148.25,109.82,27.88,228.63,86.96,20.93,203.35,133.62,9.33,10.82,4.08,2.76,0.0,False
MD,140.87,406.32,376-4292,no,no,0.0,284.58,91.59,46.22,224.24,84.28,19.76,293.42,80.19,13.06,6.13,0.98,1.74,0.0,True
ME,98.4,530.21,346-7656,no,no,0.0,124.01,96.1,20.23,164.05,96.0,14.01,200.42,60.14,8.99,11.33,2.88,3.35,3.92,True
RI,75.08,428.94,333-9826,no,no,0.0,125.7,88.21,20.31,200.96,101.15,17.35,263.31,87.1,11.2,11.21,2.01,2.88,1.99,False
DE,86.6,413.84,354-9068,no,no,0.0,207.74,125.23,32.26,261.94,97.71,22.44,246.42,78.66,10.72,7.66,6.99,2.25,1.92,False
ND,51.36,524.16,337-3740,no,no,0.0,233.29,88.51,39.75,187.15,102.55,17.26,246.83,125.45,11.38,15.45,1.94,4.05,0.0,False
VA,123.4,388.58,414-1246,no,yes,25.95,171.76,94.12,29.42,253.23,64.79,21.92,309.9,94.14,12.96,4.87,2.97,1.32,0.0,False
MD,35.66,398.76,420-2000,yes,no,0.0,102.35,79.62,17.67,147.74,86.81,13.03,236.16,112.62,10.86,10.04,7.65,2.62,2.0,False
MD,128.96,426.95,369-7049,no,no,0.0,205.1,110.25,36.39,220.56,89.88,18.9,190.68,62.85,8.66,8.64,2.04,2.3,3.12,False
KY,111.16,408.17,376-4665,no,no,0.0,73.98,104.22,12.08,142.52,112.06,12.08,176.3,102.48,7.82,10.68,3.02,3.08,2.04,False
VA,64.84,397.21,330-7486,no,no,0.0,145.28,65.07,24.55,213.48,108.41,16.89,235.65,79.79,10.79,8.78,3.13,2.43,1.93,False
RI,185.99,409.1,361-1315,no,yes,26.95,122.05,70.67,20.29,142.0,85.59,12.96,174.72,100.36,7.52,9.5,3.07,2.67,0.99,False
MA,68.16,428.92,357-6348,no,yes,33.72,157.95,112.56,27.33,210.61,117.98,17.06,211.43,115.0,9.64,9.04,3.99,2.48,0.0,False
CT,126.68,428.54,409-7523,yes,no,0.0,180.93,120.4,30.86,152.85,115.0,13.62,273.09,113.1,11.51,9.18,1.92,2.6,0.0,True
IN,98.79,422.36,356-9187,no,yes,46.95,237.66,123.51,43.5,133.97,77.11,11.93,269.49,99.74,11.29,10.08,2.09,2.88,2.92,False
IN,81.4,425.36,375-3003,no,no,0.0,223.11,99.25,38.44,239.92,69.72,19.29,121.04,120.1,5.26,9.49,4.05,2.52,0.98,False
NV,144.14,488.57,395-8595,no,no,0.0,176.65,114.75,29.59,114.6,130.37,10.1,230.55,118.09,9.6,16.81,4.06,4.59,2.96,False
MD,97.21,511.86,384-3299,yes,no,0.0,133.3,81.56,22.06,219.49,110.39,18.42,161.78,103.05,7.14,11.48,2.08,2.99,1.02,True
VT,125.05,416.83,400-3343,yes,yes,42.83,263.46,122.14,45.11,174.2,110.89,15.25,205.25,122.61,8.55,8.87,3.97,2.33,2.99,False
NE,62.6,493.86,415-2949,no,no,0.0,230.55,79.05,40.28,164.82,64.62,14.41,158.5,117.7,7.42,9.58,4.84,2.79,1.08,False
LA,130.15,395.66,382-7659,no,yes,33.25,140.76,80.74,23.33,108.13,57.17,9.19,211.09,102.73,9.01,2.86,7.22,0.79,0.0,False
OR,129.05,430.82,359-7255,no,yes,50.81,198.51,132.51,34.14,131.55,104.09,11.11,138.67,102.86,5.9,11.12,3.91,3.09,2.0,False
WI,105.19,407.92,386-8943,no,no,0.0,180.12,141.75,33.08,100.07,86.02,7.72,173.84,138.27,8.49,8.04,3.17,2.18,1.03,False
NY,60.99,510.89,328-4231,no,yes,31.88,187.45,75.51,33.51,272.53,138.33,22.15,195.01,60.99,8.81,12.62,2.85,3.62,2.09,False
AL,82.99,392.43,406-8037,no,no,0.0,157.29,105.35,25.32,94.88,111.32,7.95,285.77,92.32,13.15,9.93,6.65,2.82,1.0,False
LA,95.45,409.14,337-9345,no,no,0.0,179.44,95.51,29.33,179.98,98.48,14.65,227.08,137.29,10.36,11.41,5.93,3.18,3.13,False
GA,95.37,431.97,390-3401,no,no,0.0,114.04,114.97,20.78,194.08,58.94,17.09,264.4,117.17,12.2,13.93,3.84,4.0,2.93,False
